"Index" "MMM" "AXP" "AAPL" "BA" "CAT" "CVX" "CSCO" "KO" "DIS" "DWDP" "XOM" "GE" "HD" "IBM" "INTC" "JNJ" "JPM" "MCD" "MRK" "MSFT" "NKE" "PFE" "PG" "TRV" "UTX" "UNH" "VZ" "WMT"
1990-12-31 5.727318 1.81883 0.204346 11.287885 1.386398 2.989191 0.126764 1.640905 5.210313 2.613331 2.12758 0.462576 1.767162 9.381483 0.620542 2.908528 0.885954 3.774742 5.055835 0.764674 0.033898 0.316913 2.773411 4.282517 0.756384 0.58601 4.138375 4.819076
1991-01-31 5.668877 2.006225 0.263749 12.282958 1.54853 2.937742 0.165252 1.720303 5.661554 2.895299 2.122441 0.515989 1.978764 10.523033 0.737398 3.101078 1.081689 3.69374 5.147248 0.997125 0.040214 0.352725 2.670395 4.35076 0.750459 0.69313 3.839514 5.257174
1991-02-28 6.120255 2.116457 0.289068 12.119063 1.70027 3.241063 0.15819 1.848223 6.452602 2.93656 2.391387 0.60128 2.230399 11.11302 0.769633 3.446464 1.359837 4.098755 5.744948 1.054285 0.040424 0.487515 2.737785 4.521381 0.849799 0.759293 3.879097 5.635533
1991-03-28 6.120255 2.546362 0.343348 11.805106 1.490169 3.316436 0.13771 1.987418 6.223788 2.792588 2.537799 0.615649 2.477236 9.829085 0.753516 4.023495 1.495177 4.551499 6.000511 1.078419 0.042451 0.496802 2.868356 4.939903 0.828447 0.989286 4.067114 6.201895
1991-04-30 6.163477 2.274957 0.277707 11.491136 1.562381 3.482352 0.168077 1.932467 6.130372 2.878515 2.58118 0.625597 2.637799 8.890417 0.79381 3.965792 1.764092 4.387775 6.128482 1.006016 0.043716 0.506087 2.961627 5.001982 0.785743 0.992437 4.068681 6.481977
1991-05-31 6.829181 2.331832 0.255585 12.439782 1.697706 3.324831 0.182201 2.097322 6.176963 3.179255 2.647467 0.74247 3.021999 9.608951 0.898577 3.93965 1.83939 4.634103 6.761237 1.115255 0.036583 0.587151 3.005763 4.594018 0.872329 1.261256 3.834733 6.862094
1991-06-28 6.712676 2.130118 0.225676 11.614698 1.619791 3.16731 0.172314 2.068968 5.937341 3.152405 2.641787 0.711234 3.105148 8.794054 0.749486 3.62991 1.898141 4.352747 6.667624 1.038407 0.037485 0.553493 2.732111 4.642978 0.828131 1.155079 3.844905 6.870011
1991-07-31 6.291451 2.402299 0.251507 11.773368 1.695264 3.246071 0.221749 2.282507 6.547694 3.293336 2.698598 0.704025 3.346856 9.167551 0.757545 3.983122 2.27555 4.336196 7.392521 1.120336 0.045268 0.617069 3.001349 4.587485 0.867677 1.293431 4.013209 7.653433
1991-08-30 6.461792 2.508806 0.307624 12.767851 1.639186 3.385482 0.256353 2.496048 6.439243 3.167241 2.771791 0.719643 3.72721 9.212914 0.79784 4.182546 2.353252 4.369554 7.356863 1.299437 0.051753 0.697886 3.103564 4.753965 0.966881 1.325605 4.180864 8.163918
1991-09-30 6.703524 2.519569 0.287309 13.024487 1.539972 3.468057 0.231636 2.522976 6.181674 3.21911 2.831271 0.731166 3.770451 9.854844 0.680985 3.979893 2.319035 4.687643 7.545314 1.356598 0.061831 0.69389 3.15467 4.723119 0.908818 1.389955 3.814122 7.700286
